,index,item,category,price,price in euros,count,revenue,assortment,assortment_row,assortment_column
59,59,white wine,drinks,890.0,10.93,176,156640.0,2x1,2,1
14,14,bottled beer,drinks,200.0,2.46,687,137400.0,2x2,2,2
13,13,canned beer,drinks,135.0,1.66,717,96795.0,2x3,2,3
61,61,red/blush wine,drinks,540.0,6.63,157,84780.0,2x4,2,4
22,22,fruit/vegetable juice,drinks,140.0,1.72,518,72520.0,2x5,2,5
26,26,coffee,drinks,90.0,1.11,476,42840.0,2x6,2,6
123,123,rum,drinks,1000.0,12.28,32,32000.0,1x1,1,1
3,3,soda,drinks,20.0,0.25,1514,30280.0,1x2,1,2
48,48,misc. beverages,drinks,120.0,1.47,238,28560.0,1x3,1,3
116,116,brandy,drinks,650.0,7.98,38,24700.0,1x4,1,4
141,141,prosecco,drinks,1000.0,12.28,19,19000.0,1x5,1,5
7,7,bottled water,drinks,20.0,0.25,933,18660.0,1x6,1,6
75,75,liquor,drinks,150.0,1.84,103,15450.0,3x1,3,1
96,96,liquor (appetizer),drinks,150.0,1.84,67,10050.0,3x2,3,2
46,46,beverages,drinks,40.0,0.49,251,10040.0,3x3,3,3
157,157,whisky,drinks,900.0,11.06,8,7200.0,3x4,3,4
108,108,sparkling wine,drinks,100.0,1.23,46,4600.0,3x5,3,5
154,154,liqueur,drinks,500.0,6.14,9,4500.0,3x6,3,6
130,130,tea,drinks,110.0,1.35,27,2970.0,4x1,4,1
99,99,instant coffee,drinks,20.0,0.25,61,1220.0,4x2,4,2
146,146,cocoa drinks,drinks,50.0,0.61,16,800.0,4x3,4,3
8,8,sausage,non-veg,100.0,1.23,924,92400.0,2x1,2,1
44,44,meat,non-veg,340.0,4.18,254,86360.0,2x2,2,2
20,20,pork,non-veg,150.0,1.84,566,84900.0,2x3,2,3
23,23,beef,non-veg,150.0,1.84,516,77400.0,2x4,2,4
28,28,chicken,non-veg,180.0,2.21,422,75960.0,1x1,1,1
17,17,frankfurter,non-veg,100.0,1.23,580,58000.0,1x2,1,2
35,35,hamburger meat,non-veg,150.0,1.84,327,49050.0,1x3,1,3
19,19,domestic eggs,non-veg,80.0,0.98,566,45280.0,1x4,1,4
43,43,ham,non-veg,150.0,1.84,256,38400.0,3x1,3,1
73,73,canned fish,non-veg,150.0,1.84,116,17400.0,3x2,3,2
86,86,turkey,non-veg,200.0,2.46,80,16000.0,3x3,3,3
76,76,frozen fish,non-veg,120.0,1.47,102,12240.0,3x4,3,4
104,104,liver loaf,non-veg,150.0,1.84,50,7500.0,4x1,4,1
128,128,fish,non-veg,120.0,1.47,29,3480.0,4x2,4,2
136,136,organic sausage,non-veg,150.0,1.84,22,3300.0,4x3,4,3
159,159,frozen chicken,non-veg,180.0,2.21,5,900.0,4x4,4,4
6,6,tropical fruit,fruit,200.0,2.46,1032,206400.0,2x1,2,1
11,11,pip fruit,fruit,200.0,2.46,744,148800.0,2x2,2,2
9,9,citrus fruit,fruit,150.0,1.84,812,121800.0,1x1,1,1
34,34,berries,fruit,300.0,3.69,327,98100.0,1x2,1,2
51,51,grapes,fruit,180.0,2.21,220,39600.0,3x1,3,1
138,138,canned fruit,fruit,200.0,2.46,21,4200.0,3x2,3,2
151,151,frozen fruits,fruit,150.0,1.84,11,1650.0,4x1,4,1
15,15,whipped/sour cream,dairy,240.0,2.95,662,158880.0,2x1,2,1
0,0,whole milk,dairy,30.0,0.37,2502,75060.0,2x2,2,2
4,4,yogurt,dairy,30.0,0.37,1334,40020.0,2x3,2,3
62,62,soft cheese,dairy,200.0,2.46,152,30400.0,2x4,2,4
36,36,UHT-milk,dairy,65.0,0.8,323,20995.0,2x5,2,5
54,54,sliced cheese,dairy,90.0,1.11,212,19080.0,1x1,1,1
109,109,curd cheese,dairy,350.0,4.3,46,16100.0,1x2,1,2
21,21,butter,dairy,30.0,0.37,534,16020.0,1x3,1,3
24,24,curd,dairy,30.0,0.37,514,15420.0,1x4,1,4
91,91,specialty cheese,dairy,200.0,2.46,72,14400.0,1x5,1,5
30,30,cream cheese ,dairy,40.0,0.49,358,14320.0,3x1,3,1
63,63,processed cheese,dairy,90.0,1.11,152,13680.0,3x2,3,2
52,52,hard cheese,dairy,60.0,0.74,220,13200.0,3x3,3,3
78,78,condensed milk,dairy,110.0,1.35,98,10780.0,3x4,3,4
77,77,spread cheese,dairy,50.0,0.61,100,5000.0,3x5,3,5
88,88,mayonnaise,dairy,45.0,0.55,75,3375.0,4x1,4,1
42,42,butter milk,dairy,10.0,0.12,263,2630.0,4x2,4,2
150,150,cream,dairy,80.0,0.98,12,960.0,4x3,4,3
10,10,pastry,bakery,50.0,0.61,1785,89250.0,2x1,2,1
2,2,rolls/buns,bakery,30.0,0.37,2716,81480.0,2x2,2,2
40,40,long life bakery product,bakery,100.0,1.23,369,36900.0,2x3,2,3
100,100,zwieback,bakery,200.0,2.46,160,32000.0,1x1,1,1
18,18,brown bread,bakery,40.0,0.49,771,30840.0,1x2,1,2
39,39,waffles,bakery,30.0,0.37,480,14400.0,1x3,1,3
79,79,cake bar,bakery,50.0,0.61,193,9650.0,3x1,3,1
29,29,white bread,bakery,20.0,0.25,262,5240.0,3x2,3,2
65,65,semi-finished bread,bakery,20.0,0.25,242,4840.0,3x3,3,3
47,47,specialty chocolate,sweet,100.0,1.23,1240,124000.0,2x1,2,1
55,55,specialty bar,sweet,200.0,2.46,410,82000.0,2x2,2,2
31,31,chocolate,sweet,20.0,0.25,1357,27140.0,1x1,1,1
101,101,chocolate marshmallow,sweet,140.0,1.72,160,22400.0,1x2,1,2
126,126,artif. sweetener,sweet,250.0,3.07,29,7250.0,3x1,3,1
57,57,chewing gum,sweet,10.0,0.12,481,4810.0,3x2,3,2
53,53,candy,sweet,10.0,0.12,419,4190.0,4x1,4,1
148,148,cooking chocolate,sweet,60.0,0.74,15,900.0,4x2,4,2
1,1,other vegetables,vegetables,60.0,0.74,1898,113880.0,2x1,2,1
5,5,root vegetables,vegetables,30.0,0.37,1071,32130.0,2x2,2,2
27,27,frozen vegetables,vegetables,50.0,0.61,425,21250.0,1x1,1,1
69,69,packaged fruit/vegetables,vegetables,100.0,1.23,128,12800.0,1x2,1,2
37,37,onions,vegetables,20.0,0.25,305,6100.0,3x1,3,1
85,85,canned vegetables,vegetables,40.0,0.49,82,3280.0,3x2,3,2
152,152,specialty vegetables,vegetables,40.0,0.49,11,440.0,4x1,4,1
32,32,dessert,dessert,80.0,0.98,1356,108480.0,2x1,2,1
49,49,ice cream,dessert,40.0,0.49,1227,49080.0,1x1,1,1
80,80,frozen dessert,dessert,100.0,1.23,192,19200.0,3x1,3,1
144,144,pudding powder,dessert,80.0,0.98,17,1360.0,4x1,4,1
25,25,margarine,oil,200.0,2.46,491,98200.0,2x1,2,1
50,50,oil,oil,180.0,2.21,225,40500.0,1x1,1,1
127,127,specialty fat,oil,200.0,2.46,29,5800.0,3x1,3,1
89,89,cling film/bags,bag,600.0,7.37,74,44400.0,2x1,2,1
12,12,shopping bags,bag,30.0,0.37,731,21930.0,1x1,1,1
163,163,bags,bag,800.0,9.83,4,3200.0,3x1,3,1
125,125,kitchen towels,bag,10.0,0.12,30,300.0,4x1,4,1
74,74,seasonal products,seasonal products,200.0,2.46,306,61200.0,2x1,2,1
38,38,salty snack,snack,40.0,0.49,583,23320.0,2x1,2,1
132,132,potato products,snack,110.0,1.35,123,13530.0,2x2,2,2
134,134,nut snack,snack,60.0,0.74,122,7320.0,1x1,1,1
135,135,tidbits,snack,200.0,2.46,22,4400.0,1x2,1,2
106,106,popcorn,snack,20.0,0.25,148,2960.0,3x1,3,1
131,131,snack products,snack,50.0,0.61,27,1350.0,3x2,3,2
94,94,sweet spreads,spreads,150.0,1.84,169,25350.0,2x1,2,1
111,111,sauces,spreads,70.0,0.86,144,10080.0,2x2,2,2
119,119,jam,spreads,40.0,0.49,134,5360.0,1x1,1,1
122,122,ketchup,spreads,40.0,0.49,132,5280.0,1x2,1,2
118,118,meat spreads,spreads,100.0,1.23,35,3500.0,3x1,3,1
158,158,salad dressing,spreads,200.0,2.46,6,1200.0,3x2,3,2
149,149,honey,spreads,40.0,0.49,13,520.0,4x1,4,1
81,81,mustard,dry food,175.0,2.15,92,16100.0,2x1,2,1
41,41,sugar,dry food,40.0,0.49,265,10600.0,2x2,2,2
64,64,flour,dry food,45.0,0.55,146,6570.0,2x3,2,3
70,70,baking powder,dry food,30.0,0.37,122,3660.0,1x1,1,1
71,71,pasta,dry food,30.0,0.37,121,3630.0,1x2,1,2
82,82,salt,dry food,40.0,0.49,89,3560.0,1x3,1,3
105,105,rice,dry food,70.0,0.86,49,3430.0,3x1,3,1
112,112,cereals,dry food,40.0,0.49,42,1680.0,3x2,3,2
121,121,nuts/prunes,dry food,30.0,0.37,33,990.0,3x3,3,3
56,56,hygiene articles,hygiene articles,170.0,2.09,208,35360.0,2x1,2,1
124,124,cleaner,hygiene articles,200.0,2.46,31,6200.0,2x2,2,2
133,133,abrasive cleaner,hygiene articles,150.0,1.84,22,3300.0,1x1,1,1
143,143,bathroom cleaner,hygiene articles,150.0,1.84,17,2550.0,1x2,1,2
162,162,toilet cleaner,hygiene articles,150.0,1.84,5,750.0,3x1,3,1
83,83,pet care,animal food,300.0,3.69,85,25500.0,2x1,2,1
58,58,cat food,animal food,80.0,0.98,177,14160.0,1x1,1,1
95,95,dog food,animal food,100.0,1.23,67,6700.0,3x1,3,1
66,66,dishes,kitchen utensils,200.0,2.46,135,27000.0,2x1,2,1
142,142,cookware,kitchen utensils,900.0,11.06,17,15300.0,1x1,1,1
165,165,kitchen utensil,kitchen utensils,1500.0,18.43,1,1500.0,3x1,3,1
45,45,frozen meals,frozen meals,110.0,1.35,252,27720.0,2x1,2,1
92,92,frozen potato products,frozen meals,120.0,1.47,72,8640.0,1x1,1,1
33,33,napkins,personal hygiene,50.0,0.61,335,16750.0,2x1,2,1
114,114,female sanitary products,personal hygiene,200.0,2.46,40,8000.0,2x2,2,2
140,140,skin care,personal hygiene,200.0,2.46,20,4000.0,1x1,1,1
155,155,hair spray,personal hygiene,150.0,1.84,9,1350.0,1x2,1,2
160,160,rubbing alcohol,personal hygiene,200.0,2.46,5,1000.0,3x1,3,1
161,161,make up remover,personal hygiene,200.0,2.46,5,1000.0,3x2,3,2
98,98,finished products,others,300.0,3.69,64,19200.0,2x1,2,1
97,97,candles,others,20.0,0.25,66,1320.0,1x1,1,1
117,117,male cosmetics,cosmetics,200.0,2.46,87,17400.0,2x1,2,1
93,93,flower (seeds),plant,80.0,0.98,70,5600.0,2x1,2,1
72,72,pot plants,plant,40.0,0.49,118,4720.0,1x1,1,1
68,68,detergent,laundry,60.0,0.74,130,7800.0,2x1,2,1
113,113,softener,laundry,60.0,0.74,41,2460.0,1x1,1,1
67,67,pickled vegetables,preservatives,50.0,0.61,134,6700.0,2x1,2,1
103,103,vinegar,preservatives,50.0,0.61,51,2550.0,1x1,1,1
166,166,preservation products,preservatives,150.0,1.84,1,150.0,3x1,3,1
60,60,herbs,spices,40.0,0.49,159,6360.0,2x1,2,1
115,115,spices,spices,40.0,0.49,40,1600.0,1x1,1,1
90,90,dish cleaner,soap,80.0,0.98,73,5840.0,2x1,2,1
139,139,soap,soap,30.0,0.37,20,600.0,1x1,1,1
153,153,organic products,organic products,500.0,6.14,10,5000.0,2x1,2,1
16,16,newspapers,newspaper,8.0,0.1,596,4768.0,2x1,2,1
87,87,photo/film,photo/film,60.0,0.74,79,4740.0,2x1,2,1
110,110,house keeping products,house keeping products,100.0,1.23,45,4500.0,2x1,2,1
156,156,decalcifier,house keeping products,,,9,,1x1,1,1
102,102,Instant food products,instant food products,40.0,0.49,60,2400.0,2x1,2,1
107,107,soups,instant food products,30.0,0.37,48,1440.0,1x1,1,1
147,147,ready soups,instant food products,30.0,0.37,15,450.0,3x1,3,1
137,137,syrup,medicine,200.0,2.46,21,4200.0,2x1,2,1
120,120,dental care,dental care,110.0,1.35,33,3630.0,2x1,2,1
129,129,light bulbs,electrics,100.0,1.23,29,2900.0,2x1,2,1
84,84,roll products ,roll products,30.0,0.37,82,2460.0,2x1,2,1
164,164,baby cosmetics,baby cosmetics,500.0,6.14,3,1500.0,2x1,2,1
145,145,flower soil/fertilizer,ferztilizer,40.0,0.49,16,640.0,2x1,2,1
